date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:17	73144/73144	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2011:58:17%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html	(from )
15:44:17	179/179	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Sep%202020%2014:44:16%20GMT	http://crypto-admin-templates.multipurposethemes.com/robots.txt		(from )
15:44:21	38936/38936	---MCZ	200	added ('OK')	text/css	etag:W/%225de8fa3d-9818%22	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/css/skin_color.css	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/css/skin_color.css	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:23	520858/520858	---MCZ	200	added ('OK')	text/css	etag:W/%225de8fa3e-7f29a%22	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/css/style.css	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/css/style.css	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:23	64545/64545	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2011:52:11%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-2.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-2.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:23	64311/64311	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2011:52:10%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-3.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-3.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:23	69560/69560	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2011:51:34%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-4.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-4.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:25	64557/64557	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2011:51:33%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-5.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-5.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:26	73349/73349	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2011:51:34%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-6.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-6.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:26	104453/104453	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2011:51:34%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-7.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-7.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:28	81063/81063	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2011:51:34%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-8.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-8.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:28	77023/77023	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2011:51:34%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-9.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index-9.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:29	56522/56522	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:32:18%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/reports_transactions.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/reports_transactions.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:30	58271/58271	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:32:18%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/reports_top_gainers_losers.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/reports_top_gainers_losers.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:32	93430/93430	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:32:18%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/reports_market_capitalizations.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/reports_market_capitalizations.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:32	54536/54536	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:32:17%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/reports_crypto_stats.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/reports_crypto_stats.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:33	49287/49287	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:32:14%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/ico_distribution_countdown.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/ico_distribution_countdown.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:34	51114/51114	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:32:15%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/ico_roadmap_timeline.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/ico_roadmap_timeline.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:36	49452/49452	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:32:15%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/ico_progress.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/ico_progress.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
15:44:37	53142/53142	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:32:13%20GMT	http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/ico_details.html	/home/codinggee/websites/admin/crypto-admin-templates.multipurposethemes.com/sass/dark-multi/pages/ico_details.html	(from http://crypto-admin-templates.multipurposethemes.com/sass/dark-multi/index.html)
